case_name,workers,time_total,cpu_percent,util_per_worker,mpstat_core_avg,mpstat_min_core,mpstat_max_core,mpstat_stdev,valid,checksum
hybrid_2x2_shm,4,3.272448,397.0,99.2,100.0|99.7|100.0|100.0,99.7,100.0,0.16,1,10938743413492098894
pipeline_4_final,4,3.242439,399.0,99.8,100.0|100.0|100.0|100.0,100.0,100.0,0.00,1,10938743413492098894
process_4_shm,4,3.222263,398.0,99.5,100.0|100.0|100.0|100.0,100.0,100.0,0.00,1,10938743413492098894
thread_4_reduce,4,3.312918,398.0,99.5,100.0|100.0|100.0|100.0,100.0,100.0,0.00,1,10938743413492098894
