case_name,repeat,mode,schedule,merge,sync,processes,threads,trials,steps,batch_size,queue_size,ipc,workload,skew_factor,pre_work,post_work,time_total,time_pre,time_compute,time_sync,time_ipc,time_merge,time_post,speedup,efficiency,sequential_fraction_estimate,compute_ratio,sync_overhead_ratio,ipc_overhead_ratio,merge_overhead_ratio,throughput_batches_per_sec,total_trials,collision_count,hist_sum,checksum,valid,lock_wait_count,cond_wait_count,queue_push_count,queue_pop_count,ipc_write_count,ipc_read_count,ipc_bytes,notes
pipeline_final_b1000,1,pipeline,queue,final,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.035895,0.000074,0.035704,0.000077,0.000000,0.000002,0.000084,0.000000,0.000000,0.006629,0.994678,0.002152,0.000000,0.000066,27859.291744,1000000,529280,1000000,1026622357111743000,1,2004,0,1000,1000,0,0,0,ok
pipeline_interactive_b1000,1,pipeline,queue,interactive,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.037712,0.000085,0.037527,0.039357,0.000000,0.000084,0.000084,0.000000,0.000000,1.000000,0.995083,1.000000,0.000000,0.002228,26516.407027,1000000,529280,1000000,1026622357111743000,1,4005,731,2000,2000,0,0,0,ok
pipeline_interactive_b100,1,pipeline,queue,interactive,reduce,2,4,1000000,50,100,1024,pipe,skewed,8,50000,10000,0.071592,0.000137,0.071325,0.220881,0.000000,0.000664,0.000110,0.000000,0.000000,1.000000,0.996265,1.000000,0.000000,0.009275,139679.679575,1000000,529280,1000000,1026622357111743000,1,40005,4919,20000,20000,0,0,0,ok
pipeline_interactive_b10000,1,pipeline,queue,interactive,reduce,2,4,1000000,50,10000,1024,pipe,skewed,8,50000,10000,0.037033,0.000071,0.036863,0.037011,0.000000,0.000007,0.000086,0.000000,0.000000,1.000000,0.995420,0.999411,0.000000,0.000181,2700.312561,1000000,529280,1000000,1026622357111743000,1,405,76,200,200,0,0,0,ok
seq,2,seq,static,final,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.128053,0.000068,0.127906,0.000000,0.000000,0.000000,0.000079,0.000000,0.000000,0.001150,0.998848,0.000000,0.000000,0.000000,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_1_reduce,2,thread,static,final,reduce,2,1,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.128706,0.000076,0.128538,0.000000,0.000000,0.000001,0.000088,0.000000,0.000000,0.001281,0.998696,0.000000,0.000000,0.000005,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_2_reduce,2,thread,static,final,reduce,2,2,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.082222,0.000068,0.082058,0.000000,0.000000,0.000000,0.000093,0.000000,0.000000,0.001956,0.998005,0.000000,0.000000,0.000002,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_4_reduce,2,thread,static,final,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.060228,0.000068,0.060069,0.000000,0.000000,0.000000,0.000088,0.000000,0.000000,0.002594,0.997358,0.000000,0.000000,0.000003,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_8_reduce,2,thread,static,final,reduce,2,8,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.036631,0.000068,0.036443,0.000000,0.000000,0.000000,0.000118,0.000000,0.000000,0.005072,0.994859,0.000000,0.000000,0.000006,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_4_mutex,2,thread,static,final,mutex,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.195200,0.000068,0.195042,0.333982,0.000000,0.000000,0.000087,0.000000,0.000000,1.000000,0.999191,1.000000,0.000000,0.000001,0.000000,1000000,529280,1000000,1026622357111743000,1,1000000,0,0,0,0,0,0,ok
