case_name,repeat,mode,schedule,merge,sync,processes,threads,trials,steps,batch_size,queue_size,ipc,workload,skew_factor,pre_work,post_work,time_total,time_pre,time_compute,time_sync,time_ipc,time_merge,time_post,speedup,efficiency,sequential_fraction_estimate,compute_ratio,sync_overhead_ratio,ipc_overhead_ratio,merge_overhead_ratio,throughput_batches_per_sec,total_trials,collision_count,hist_sum,checksum,valid,lock_wait_count,cond_wait_count,queue_push_count,queue_pop_count,ipc_write_count,ipc_read_count,ipc_bytes,notes
pipeline_final_b1000,1,pipeline,queue,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.027628,0.000098,0.026587,0.000083,0.000000,0.000002,0.000085,0.000000,0.000000,0.009723,0.962322,0.002993,0.000000,0.000089,36195.055589,1000000,529280,1000000,1026622357111743000,1,2004,0,1000,1000,0,0,0,ok
pipeline_interactive_b1000,1,pipeline,queue,interactive,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.028964,0.000083,0.028757,0.030426,0.000000,0.000070,0.000079,0.000000,0.000000,1.000000,0.992868,1.000000,0.000000,0.002416,34525.569136,1000000,529280,1000000,1026622357111743000,1,4005,656,2000,2000,0,0,0,ok
pipeline_interactive_b100,1,pipeline,queue,interactive,reduce,2,4,1000000,50,100,1024,pipe,uniform,8,50000,10000,0.056712,0.000152,0.056451,0.178080,0.000000,0.000614,0.000095,0.000000,0.000000,1.000000,0.995399,1.000000,0.000000,0.010824,176328.877902,1000000,529280,1000000,1026622357111743000,1,40005,3428,20000,20000,0,0,0,ok
pipeline_interactive_b10000,1,pipeline,queue,interactive,reduce,2,4,1000000,50,10000,1024,pipe,uniform,8,50000,10000,0.029191,0.000079,0.029007,0.028800,0.000000,0.000009,0.000091,0.000000,0.000000,0.992733,0.993691,0.986602,0.000000,0.000321,3425.654728,1000000,529280,1000000,1026622357111743000,1,405,71,200,200,0,0,0,ok
seq,2,seq,static,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.095518,0.000076,0.095360,0.000000,0.000000,0.000000,0.000082,0.000000,0.000000,0.001654,0.998345,0.000000,0.000000,0.000000,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_1_reduce,2,thread,static,final,reduce,2,1,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.093213,0.000068,0.093054,0.000000,0.000000,0.000000,0.000089,0.000000,0.000000,0.001681,0.998287,0.000000,0.000000,0.000001,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_2_reduce,2,thread,static,final,reduce,2,2,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.048050,0.000093,0.047853,0.000000,0.000000,0.000000,0.000100,0.000000,0.000000,0.004024,0.995901,0.000000,0.000000,0.000003,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_4_reduce,2,thread,static,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.026171,0.000069,0.026004,0.000000,0.000000,0.000000,0.000094,0.000000,0.000000,0.006258,0.993609,0.000000,0.000000,0.000003,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_8_reduce,2,thread,static,final,reduce,2,8,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.020345,0.000068,0.020181,0.000000,0.000000,0.000000,0.000093,0.000000,0.000000,0.007928,0.991951,0.000000,0.000000,0.000012,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok
thread_4_mutex,2,thread,static,final,mutex,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.202660,0.000068,0.202501,0.426651,0.000000,0.000000,0.000089,0.000000,0.000000,1.000000,0.999217,1.000000,0.000000,0.000000,0.000000,1000000,529280,1000000,1026622357111743000,1,1000000,0,0,0,0,0,0,ok
thread_4_nosync,2,thread,static,final,nosync,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.030123,0.000078,0.029946,0.000000,0.000000,0.000000,0.000094,0.000000,0.000000,0.005706,0.994131,0.000000,0.000000,0.000001,0.000000,331036,248519,585934,5816770715649791871,0,0,0,0,0,0,0,0,ok
process_1_pipe,2,process,static,final,reduce,1,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.091352,0.000076,0.000031,0.091161,0.000001,0.000000,0.000082,0.000000,0.000000,0.999660,0.000340,0.997914,0.000012,0.000000,10.946703,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,1,64,ok
process_1_shm,2,process,static,final,reduce,1,4,1000000,50,1000,1024,shm,uniform,8,50000,10000,0.091425,0.000068,0.000044,0.091221,0.000000,0.000000,0.000091,0.000000,0.000000,0.999518,0.000482,0.997774,0.000001,0.000000,10.937937,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,1,64,ok
process_2_pipe,2,process,static,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.046882,0.000068,0.000113,0.046609,0.000001,0.000001,0.000090,0.000000,0.000000,0.997600,0.002400,0.994177,0.000028,0.000021,42.660334,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok
process_2_shm,2,process,static,final,reduce,2,4,1000000,50,1000,1024,shm,uniform,8,50000,10000,0.047089,0.000074,0.000065,0.046866,0.000000,0.000000,0.000084,0.000000,0.000000,0.998613,0.001387,0.995252,0.000002,0.000002,42.472577,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok
process_4_pipe,2,process,static,final,reduce,4,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.026813,0.000092,0.000153,0.026480,0.000002,0.000000,0.000087,0.000000,0.000000,0.994311,0.005689,0.987565,0.000084,0.000005,149.181595,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,4,256,ok
process_4_shm,2,process,static,final,reduce,4,4,1000000,50,1000,1024,shm,uniform,8,50000,10000,0.026385,0.000068,0.000108,0.026127,0.000000,0.000000,0.000082,0.000000,0.000000,0.995901,0.004099,0.990211,0.000006,0.000005,151.598898,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,4,256,ok
hybrid_2x2,2,hybrid,static,final,reduce,2,2,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.026743,0.000068,0.000058,0.026534,0.000001,0.000000,0.000082,0.000000,0.000000,0.997833,0.002167,0.992194,0.000044,0.000003,74.785690,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok
