case_name,repeat,mode,schedule,merge,sync,processes,threads,trials,steps,batch_size,queue_size,ipc,workload,skew_factor,pre_work,post_work,time_total,time_pre,time_compute,time_sync,time_ipc,time_merge,time_post,speedup,efficiency,sequential_fraction_estimate,compute_ratio,sync_overhead_ratio,ipc_overhead_ratio,merge_overhead_ratio,throughput_batches_per_sec,total_trials,collision_count,hist_sum,checksum,valid,lock_wait_count,cond_wait_count,queue_push_count,queue_pop_count,ipc_write_count,ipc_read_count,ipc_bytes,notes,profile,inner_work
pipeline_final_b1000,1,pipeline,queue,final,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.038029,0.000086,0.037789,0.000063,0.000000,0.000004,0.000086,0.000000,0.000000,0.006292,0.993689,0.001660,0.000000,0.000108,26295.923595,1000000,529280,1000000,1026622357111743000,1,2004,0,1000,1000,0,0,0,ok,default,0
pipeline_interactive_b1000,1,pipeline,queue,interactive,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.041574,0.000079,0.041372,0.042985,0.000000,0.000097,0.000094,0.000000,0.000000,1.000000,0.995130,1.000000,0.000000,0.002340,24053.446952,1000000,529280,1000000,1026622357111743000,1,4005,701,2000,2000,0,0,0,ok,default,0
pipeline_interactive_b100,1,pipeline,queue,interactive,reduce,2,4,1000000,50,100,1024,pipe,skewed,8,50000,10000,0.075625,0.000226,0.075252,0.226906,0.000000,0.000748,0.000091,0.000000,0.000000,1.000000,0.995072,1.000000,0.000000,0.009892,132232.207532,1000000,529280,1000000,1026622357111743000,1,40005,4563,20000,20000,0,0,0,ok,default,0
pipeline_interactive_b10000,1,pipeline,queue,interactive,reduce,2,4,1000000,50,10000,1024,pipe,skewed,8,50000,10000,0.039867,0.000110,0.039645,0.039502,0.000000,0.000006,0.000087,0.000000,0.000000,0.995921,0.994412,0.990838,0.000000,0.000156,2508.316637,1000000,529280,1000000,1026622357111743000,1,405,94,200,200,0,0,0,ok,default,0
seq,2,seq,static,final,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.131736,0.000101,0.131555,0.000000,0.000000,0.000000,0.000080,0.000000,0.000000,0.001370,0.998629,0.000000,0.000000,0.000000,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_1_reduce,2,thread,static,final,reduce,2,1,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.139055,0.000068,0.138889,0.000000,0.000000,0.000000,0.000093,0.000000,0.000000,0.001161,0.998800,0.000000,0.000000,0.000001,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_2_reduce,2,thread,static,final,reduce,2,2,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.093520,0.000076,0.093336,0.000000,0.000000,0.000000,0.000104,0.000000,0.000000,0.001929,0.998029,0.000000,0.000000,0.000004,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_4_reduce,2,thread,static,final,reduce,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.068920,0.000076,0.068736,0.000000,0.000000,0.000000,0.000104,0.000000,0.000000,0.002615,0.997327,0.000000,0.000000,0.000003,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_8_reduce,2,thread,static,final,reduce,2,8,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.037022,0.000076,0.036847,0.000000,0.000000,0.000000,0.000094,0.000000,0.000000,0.004615,0.995280,0.000000,0.000000,0.000004,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_4_mutex,2,thread,static,final,mutex,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.196711,0.000068,0.196550,0.347109,0.000000,0.000000,0.000089,0.000000,0.000000,1.000000,0.999182,1.000000,0.000000,0.000000,0.000000,1000000,529280,1000000,1026622357111743000,1,1000000,0,0,0,0,0,0,ok,default,0
thread_4_nosync,2,thread,static,final,nosync,2,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.061024,0.000076,0.060856,0.000000,0.000000,0.000000,0.000088,0.000000,0.000000,0.002698,0.997241,0.000000,0.000000,0.000001,0.000000,687186,429372,876552,6052610952585939456,0,0,0,0,0,0,0,0,ok,default,0
process_1_pipe,2,process,static,final,reduce,1,4,1000000,50,1000,1024,pipe,skewed,8,50000,10000,0.131692,0.000087,0.000036,0.131480,0.000003,0.000000,0.000086,0.000000,0.000000,0.999729,0.000271,0.998391,0.000026,0.000000,7.593488,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,1,64,ok,default,0
