threads,avg_time,min_time,stdev_time,ideal_time,speedup,efficiency,avg_cpu_percent,avg_util_per_core
1,5.003615628,5.002845253,0.001089474,5.003615628,1.000,1.000,99.0,99.0
2,2.519926585,2.516536126,0.004794832,2.501807814,1.986,0.993,199.0,99.5
4,1.411445063,1.402850917,0.012153958,1.250903907,3.545,0.886,398.5,99.6
8,0.909532375,0.908992375,0.000763676,0.625451953,5.501,0.688,784.0,98.0
