threads,repeat,work_iters,time_total,cpu_percent
1,1,1000000000,5.004386002,99
1,2,1000000000,5.002845253,99
2,1,1000000000,2.523317043,199
2,2,1000000000,2.516536126,199
4,1,1000000000,1.420039209,399
4,2,1000000000,1.402850917,398
8,1,1000000000,0.910072376,786
8,2,1000000000,0.908992375,782
