case_name,repeat,mode,schedule,merge,sync,processes,threads,trials,steps,batch_size,queue_size,ipc,workload,skew_factor,pre_work,post_work,time_total,time_pre,time_compute,time_sync,time_ipc,time_merge,time_post,speedup,efficiency,sequential_fraction_estimate,compute_ratio,sync_overhead_ratio,ipc_overhead_ratio,merge_overhead_ratio,throughput_batches_per_sec,total_trials,collision_count,hist_sum,checksum,valid,lock_wait_count,cond_wait_count,queue_push_count,queue_pop_count,ipc_write_count,ipc_read_count,ipc_bytes,notes,profile,inner_work
pipeline_final_b1000,1,pipeline,queue,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.028195,0.000094,0.027991,0.000082,0.000000,0.000003,0.000083,0.000000,0.000000,0.009283,0.992741,0.002901,0.000000,0.000118,35466.861290,1000000,529280,1000000,1026622357111743000,1,2004,0,1000,1000,0,0,0,ok,default,0
pipeline_interactive_b1000,1,pipeline,queue,interactive,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.030156,0.000082,0.029931,0.031953,0.000000,0.000117,0.000095,0.000000,0.000000,1.000000,0.992536,1.000000,0.000000,0.003876,33161.309043,1000000,529280,1000000,1026622357111743000,1,4005,661,2000,2000,0,0,0,ok,default,0
pipeline_interactive_b100,1,pipeline,queue,interactive,reduce,2,4,1000000,50,100,1024,pipe,uniform,8,50000,10000,0.059446,0.000213,0.059104,0.190276,0.000000,0.000631,0.000100,0.000000,0.000000,1.000000,0.994251,1.000000,0.000000,0.010611,168220.015901,1000000,529280,1000000,1026622357111743000,1,40005,3990,20000,20000,0,0,0,ok,default,0
pipeline_interactive_b10000,1,pipeline,queue,interactive,reduce,2,4,1000000,50,10000,1024,pipe,uniform,8,50000,10000,0.026651,0.000071,0.026470,0.026610,0.000000,0.000005,0.000098,0.000000,0.000000,1.000000,0.993209,0.998465,0.000000,0.000199,3752.198507,1000000,529280,1000000,1026622357111743000,1,405,75,200,200,0,0,0,ok,default,0
seq,2,seq,static,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.096347,0.000077,0.096191,0.000000,0.000000,0.000000,0.000079,0.000000,0.000000,0.001618,0.998380,0.000000,0.000000,0.000000,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_1_reduce,2,thread,static,final,reduce,2,1,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.094564,0.000068,0.094398,0.000000,0.000000,0.000000,0.000094,0.000000,0.000000,0.001718,0.998253,0.000000,0.000000,0.000001,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_2_reduce,2,thread,static,final,reduce,2,2,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.049561,0.000089,0.049375,0.000000,0.000000,0.000000,0.000094,0.000000,0.000000,0.003685,0.996253,0.000000,0.000000,0.000003,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_4_reduce,2,thread,static,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.026639,0.000076,0.026459,0.000000,0.000000,0.000000,0.000099,0.000000,0.000000,0.006596,0.993262,0.000000,0.000000,0.000006,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_8_reduce,2,thread,static,final,reduce,2,8,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.020057,0.000082,0.019884,0.000000,0.000000,0.000000,0.000088,0.000000,0.000000,0.008484,0.991381,0.000000,0.000000,0.000010,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_4_mutex,2,thread,static,final,mutex,2,4,1000000,50,1000,1024,pipe,uniform,8,50000,10000,0.194333,0.000080,0.194154,0.424112,0.000000,0.000000,0.000096,0.000000,0.000000,1.000000,0.999079,1.000000,0.000000,0.000000,0.000000,1000000,529280,1000000,1026622357111743000,1,1000000,0,0,0,0,0,0,ok,default,0
