case_name,repeat,mode,schedule,merge,sync,processes,threads,trials,steps,batch_size,queue_size,ipc,workload,skew_factor,pre_work,post_work,time_total,time_pre,time_compute,time_sync,time_ipc,time_merge,time_post,speedup,efficiency,sequential_fraction_estimate,compute_ratio,sync_overhead_ratio,ipc_overhead_ratio,merge_overhead_ratio,throughput_batches_per_sec,total_trials,collision_count,hist_sum,checksum,valid,lock_wait_count,cond_wait_count,queue_push_count,queue_pop_count,ipc_write_count,ipc_read_count,ipc_bytes,notes,profile,inner_work
pipeline_final_b1000,1,pipeline,queue,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000000,10000000,0.190401,0.074666,0.026788,0.000082,0.000000,0.000004,0.088906,0.000000,0.000000,0.859547,0.140691,0.000432,0.000000,0.000023,5252.067518,1000000,529280,1000000,1026622357111743000,1,2004,0,1000,1000,0,0,0,ok,default,0
pipeline_interactive_b1000,1,pipeline,queue,interactive,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000000,10000000,0.191684,0.074878,0.028740,0.031471,0.000000,0.000111,0.088022,0.000000,0.000000,1.000000,0.149933,0.164181,0.000000,0.000578,5216.928576,1000000,529280,1000000,1026622357111743000,1,4005,649,2000,2000,0,0,0,ok,default,0
pipeline_interactive_b100,1,pipeline,queue,interactive,reduce,2,4,1000000,50,100,1024,pipe,uniform,8,50000000,10000000,0.231997,0.075714,0.064437,0.204574,0.000000,0.000968,0.091779,0.000000,0.000000,1.000000,0.277748,0.881796,0.000000,0.004173,43103.982245,1000000,529280,1000000,1026622357111743000,1,40005,3745,20000,20000,0,0,0,ok,default,0
pipeline_interactive_b10000,1,pipeline,queue,interactive,reduce,2,4,1000000,50,10000,1024,pipe,uniform,8,50000000,10000000,0.189017,0.074637,0.026751,0.026600,0.000000,0.000006,0.087601,0.000000,0.000000,0.999085,0.141525,0.140729,0.000000,0.000033,529.053057,1000000,529280,1000000,1026622357111743000,1,405,97,200,200,0,0,0,ok,default,0
seq,2,seq,static,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000000,10000000,0.262670,0.073651,0.100975,0.000000,0.000000,0.000000,0.088044,0.000000,0.000000,0.615580,0.384419,0.000000,0.000000,0.000000,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_1_reduce,2,thread,static,final,reduce,2,1,1000000,50,1000,1024,pipe,uniform,8,50000000,10000000,0.263385,0.074469,0.101394,0.000000,0.000000,0.000000,0.087518,0.000000,0.000000,0.615020,0.384966,0.000000,0.000000,0.000000,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_2_reduce,2,thread,static,final,reduce,2,2,1000000,50,1000,1024,pipe,uniform,8,50000000,10000000,0.220286,0.074467,0.057005,0.000000,0.000000,0.000000,0.088806,0.000000,0.000000,0.741187,0.258776,0.000000,0.000000,0.000001,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_4_reduce,2,thread,static,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000000,10000000,0.192367,0.075059,0.029361,0.000000,0.000000,0.000000,0.087943,0.000000,0.000000,0.847350,0.152630,0.000000,0.000000,0.000000,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_8_reduce,2,thread,static,final,reduce,2,8,1000000,50,1000,1024,pipe,uniform,8,50000000,10000000,0.185990,0.075748,0.021530,0.000000,0.000000,0.000000,0.088705,0.000000,0.000000,0.884203,0.115759,0.000000,0.000000,0.000001,0.000000,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,0,0,ok,default,0
thread_4_mutex,2,thread,static,final,mutex,2,4,1000000,50,1000,1024,pipe,uniform,8,50000000,10000000,0.336848,0.073952,0.175477,0.357187,0.000000,0.000000,0.087415,0.000000,0.000000,1.000000,0.520938,1.000000,0.000000,0.000000,0.000000,1000000,529280,1000000,1026622357111743000,1,1000000,0,0,0,0,0,0,ok,default,0
thread_4_nosync,2,thread,static,final,nosync,2,4,1000000,50,1000,1024,pipe,uniform,8,50000000,10000000,0.195343,0.074781,0.031243,0.000000,0.000000,0.000000,0.089313,0.000000,0.000000,0.840031,0.159941,0.000000,0.000000,0.000000,0.000000,371189,271029,620437,242383103224307595,0,0,0,0,0,0,0,0,ok,default,0
process_1_pipe,2,process,static,final,reduce,1,4,1000000,50,1000,1024,pipe,uniform,8,50000000,10000000,0.264454,0.074071,0.000081,0.101899,0.000003,0.000000,0.088401,0.000000,0.000000,0.999692,0.000308,0.385317,0.000011,0.000000,3.781369,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,1,64,ok,default,0
process_1_shm,2,process,static,final,reduce,1,4,1000000,50,1000,1024,shm,uniform,8,50000000,10000000,0.264781,0.074514,0.000112,0.101296,0.000000,0.000000,0.088859,0.000000,0.000000,0.999576,0.000424,0.382566,0.000001,0.000000,3.776707,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,1,64,ok,default,0
process_2_pipe,2,process,static,final,reduce,2,4,1000000,50,1000,1024,pipe,uniform,8,50000000,10000000,0.216289,0.075481,0.000152,0.051909,0.000002,0.000000,0.088746,0.000000,0.000000,0.999299,0.000701,0.239996,0.000011,0.000000,9.246871,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok,default,0
process_2_shm,2,process,static,final,reduce,2,4,1000000,50,1000,1024,shm,uniform,8,50000000,10000000,0.214187,0.074190,0.000141,0.051855,0.000000,0.000000,0.088000,0.000000,0.000000,0.999340,0.000660,0.242104,0.000001,0.000000,9.337648,1000000,529280,1000000,1026622357111743000,1,0,0,0,0,0,2,128,ok,default,0
